"latin name","polish name","english name","category","status"
"Ceryle rudis","rybaczek srokaty","Pied kingfisher","B","(z)"
"Falco naumanni","pustułeczka","Lesser kestrel","A","(l) Z"
"Falco tinnunculus","pustułka","Common kestrel","A","L"
"Falco vespertinus","kobczyk","Red-footed falcon","A","(l) P"
"Falco columbarius","drzemlik","Merlin","A","P"
"Falco subbuteo","kobuz","Eurasian hobby","A","L"
"Falco eleonorae","sokół skalny","Eleonora's falcon","A","z"
"Falco cherrug","raróg","Saker falcon","A","l Z"
"Falco biarmicus","raróg górski","Lanner falcon","A","z"
"Falco rusticolus","białozór","Gyrfalcon","A","Z"
"Falco peregrinus","sokół wędrowny","Peregrine falcon","A","l P"
"Vireo olivaceus","wireonek czerwonooki","Red-eyed vireo","A","z"
"Oriolus oriolus","wilga","Eurasian golden oriole","A","L"
"Lanius collurio","gąsiorek","Red-backed shrike","A","L"
"Lanius phoenicuroides","dzierzba rdzawosterna","Red-tailed shrike","A","z"
"Lanius isabellinus","dzierzba pustynna","Isabelline shrike","A","z"
"Lanius minor","dzierzba czarnoczelna","Lesser grey shrike","A","l Z"
"Lanius borealis","srokosz północny","Northern shrike","A","z"
"Lanius excubitor","srokosz","Great grey shrike","A","L"
"Lanius senator","dzierzba rudogłowa","Woodchat shrike","A","(l) Z"
"Pyrrhocorax graculus","wieszczek","Alpine chough","A","(l) z"
"Perisoreus infaustus","sójka syberyjska","Siberian jay","A","z"
"Garrulus glandarius","sójka","Eurasian jay","A","L"
"Pica pica","sroka","Eurasian magpie","A","L"
"Nucifraga caryocatactes","orzechówka","Spotted nutcracker","A","L"
"Coloeus monedula","kawka","Western jackdaw","A","L"
"Corvus frugilegus","gawron","Rook","A","L"
"Corvus corax","kruk","Common raven","A","L"
"Corvus corone","czarnowron","Carrion crow","A","l P"
"Corvus cornix","wrona siwa","Hooded crow","A","L"
"Periparus ater","sosnówka","Coal tit","A","L"
"Lophophanes cristatus","czubatka","Crested tit","A","L"
"Poecile palustris","sikora uboga","Marsh tit","A","L"
"Poecile montanus","czarnogłówka","Willow tit","A","L"
"Cyanistes caeruleus","modraszka","Eurasian blue tit","A","L"
"Cyanistes cyanus","sikora lazurowa","Azure tit","A","Z"
"Parus major","bogatka","Great tit","A","L"
"Remiz pendulinus","remiz","Eurasian penduline tit","A","L"
"Lullula arborea","lerka","Woodlark","A","L"
"Alauda leucoptera","skowronek białoskrzydły","White-winged lark","A","z"
"Alauda arvensis","skowronek","Eurasian skylark","A","L"
"Galerida cristata","dzierlatka","Crested lark","A","L"
"Eremophila alpestris","górniczek","Horned lark","A","P"
"Calandrella brachydactyla","skowrończyk krótkopalcowy","Greater short-toed lark","A","Z"
"Melanocorypha bimaculata","kalandra dwuplamista","Bimaculated lark","A","z"
"Melanocorypha calandra","kalandra szara","Calandra lark","A","z"
"Melanocorypha yeltoniensis","kalandra czarna","Black lark","A","z"
"Alaudala rufescens","skowrończyk mały","Mediterranean short-toed lark","A","z"
"Panurus biarmicus","wąsatka","Bearded reedling","A","L"
"Helopsaltes certhiola","świerszczak melodyjny","Pallas's grasshopper warbler","A","z"
"Locustella luscinioides","brzęczka","Savi's warbler","A","L"
"Locustella fluviatilis","strumieniówka","River warbler","A","L"
"Locustella naevia","świerszczak","Common grasshopper warbler","A","L"
"Iduna caligata","zaganiacz mały","Booted warbler","A","Z"
"Iduna pallida","zaganiacz blady","Eastern olivaceous warbler","A","z"
"Hippolais polyglotta","zaganiacz szczebiotliwy","Melodious warbler","A","z"
"Hippolais icterina","zaganiacz","Icterine warbler","A","L"
"Acrocephalus paludicola","wodniczka","Aquatic warbler","A","L"
"Acrocephalus melanopogon","tamaryszka","Moustached warbler","A","z"
"Acrocephalus schoenobaenus","rokitniczka","Sedge warbler","A","L"
"Acrocephalus dumetorum","zaroślówka","Blyth's reed warbler","A","l P"
"Acrocephalus palustris","łozówka","Marsh warbler","A","L"
"Acrocephalus scirpaceus","trzcinniczek","Common reed warbler","A","L"
"Acrocephalus agricola","trzcinniczek kaspijski","Paddyfield warbler","A","Z"
"Acrocephalus arundinaceus","trzciniak","Great reed warbler","A","L"
"Delichon urbicum","oknówka","Western house martin","A","L"
"Cecropis daurica","jaskółka rudawa","Red-rumped swallow","A","Z"
"Hirundo rustica","dymówka","Barn swallow","A","L"
"Riparia riparia","brzegówka","Sand martin","A","L"
"Phylloscopus bonelli","świstunka górska","Western Bonelli's warbler","A","(l) Z"
"Phylloscopus sibilatrix","świstunka leśna","Wood warbler","A","L"
"Phylloscopus inornatus","świstunka żółtawa","Yellow-browed warbler","A","P"
"Phylloscopus humei","świstunka ałtajska","Hume's leaf warbler","A","Z"
"Phylloscopus proregulus","świstunka złotawa","Pallas's leaf warbler","A","Z"
"Phylloscopus fuscatus","świstunka brunatna","Dusky warbler","A","Z"
"Phylloscopus trochilus","piecuszek","Willow warbler","A","L"
"Phylloscopus ibericus","świstunka iberyjska","Iberian chiffchaff","A","l z"
"Phylloscopus collybita","pierwiosnek","Common chiffchaff","A","L"
"Phylloscopus schwarzi","świstunka grubodzioba","Radde's warbler","A","Z"
"Phylloscopus trochiloides","wójcik","Greenish warbler","A","l P"
"Phylloscopus borealis","świstunka północna","Arctic warbler","A","z"
"Aegithalos caudatus","raniuszek","Long-tailed tit","A","L"
"Sylvia atricapilla","kapturka","Eurasian blackcap","A","L"
"Sylvia borin","gajówka","Garden warbler","A","L"
"Curruca nisoria","jarzębatka","Barred warbler","A","L"
"Curruca curruca","piegża","Lesser whitethroat","A","L"
"Curruca cantillans","pokrzewka wąsata","Eastern subalpine warbler","A","Z"
"Curruca iberiae","pokrzewka iberyjska","Western subalpine warbler","A","z"
"Curruca melanocephala","pokrzewka aksamitna","Sardinian warbler","A","z"
"Curruca communis","cierniówka","Common whitethroat","A","L"
"Regulus regulus","mysikrólik","Goldcrest","A","L"
"Regulus ignicapilla","zniczek","Common firecrest","A","L"
"Bombycilla garrulus","jemiołuszka","Bohemian waxwing","A","P"
"Sitta europaea","kowalik","Eurasian nuthatch","A","L"
"Certhia familiaris","pełzacz leśny","Eurasian treecreeper","A","L"
"Certhia brachydactyla","pełzacz ogrodowy","Short-toed treecreeper","A","L"
